tag_name,recipe_id
number-of-servings,71373
weeknight,70165
time-to-make,70165
course,70165
preparation,70165
healthy,70165
flat-shapes,70165
breads,70165
main-dish,70165
oven,70165
kid-friendly,70165
low-fat,70165
vegan,70165
vegetarian,70165
pizza,70165
dietary,70165
low-sodium,70165
low-cholesterol,70165
low-saturated-fat,70165
healthy-2,70165
yeast,70165
low-in-something,70165
equipment,70165
number-of-servings,70165
4-hours-or-less,70165
weeknight,33921
time-to-make,33921
course,33921
main-ingredient,33921
cuisine,33921
preparation,33921
occasion,33921
north-american,33921
main-dish,33921
beans,33921
eggs-dairy,33921
american,33921
oven,33921
easy,33921
vegetarian,33921
grains,33921
cheese,33921
dietary,33921
comfort-food,33921
lentils,33921
pasta-rice-and-grains,33921
novelty,33921
taste-mood,33921
equipment,33921
4-hours-or-less,33921
lactose,15865
30-minutes-or-less,15865
time-to-make,15865
course,15865
main-ingredient,15865
cuisine,15865
preparation,15865
occasion,15865
for-1-or-2,15865
appetizers,15865
main-dish,15865
poultry,15865
asian,15865
chinese,15865
easy,15865
beginner-cook,15865
chicken,15865
stove-top,15865
dietary,15865
copycat,15865
free-of-something,15865
meat,15865
chicken-breasts,15865
novelty,15865
equipment,15865
number-of-servings,15865
3-steps-or-less,15865
weeknight,26370
time-to-make,26370
course,26370
main-ingredient,26370
preparation,26370
occasion,26370
for-large-groups,26370
desserts,26370
oven,26370
potluck,26370
heirloom-historical,26370
holiday-event,26370
kid-friendly,26370
vegetarian,26370
cakes,26370
chocolate,26370
dietary,26370
comfort-food,26370
taste-mood,26370
to-go,26370
equipment,26370
number-of-servings,26370
4-hours-or-less,26370
60-minutes-or-less,77585
time-to-make,77585
course,77585
main-ingredient,77585
cuisine,77585
preparation,77585
occasion,77585
clear-soups,77585
soups-stews,77585
pasta,77585
vegetables,77585
european,77585
vegetarian,77585
winter,77585
italian,77585
stove-top,77585
dietary,77585
copycat,77585
seasonal,77585
pasta-rice-and-grains,77585
pasta-shells,77585
novelty,77585
taste-mood,77585
savory,77585
equipment,77585
30-minutes-or-less,34382
time-to-make,34382
course,34382
main-ingredient,34382
cuisine,34382
preparation,34382
occasion,34382
north-american,34382
low-protein,34382
healthy,34382
side-dishes,34382
eggs-dairy,34382
potatoes,34382
vegetables,34382
american,34382
easy,34382
european,34382
low-fat,34382
summer,34382
cheese,34382
stove-top,34382
dietary,34382
gluten-free,34382
low-cholesterol,34382
seasonal,34382
low-calorie,34382
comfort-food,34382
pacific-northwest,34382
healthy-2,34382
free-of-something,34382
low-in-something,34382
taste-mood,34382
equipment,34382
weeknight,9836
time-to-make,9836
course,9836
main-ingredient,9836
cuisine,9836
preparation,9836
north-american,9836
5-ingredients-or-less,9836
main-dish,9836
eggs-dairy,9836
poultry,9836
american,9836
easy,9836
cheese,9836
chicken,9836
crock-pot-slow-cooker,9836
dietary,9836
low-calorie,9836
low-carb,9836
low-in-something,9836
meat,9836
chicken-breasts,9836
equipment,9836
15-minutes-or-less,33489
time-to-make,33489
course,33489
main-ingredient,33489
preparation,33489
occasion,33489
salads,33489
vegetables,33489
food-processor-blender,33489
dietary,33489
copycat,33489
novelty,33489
equipment,33489
small-appliance,33489
time-to-make,27144
course,27144
main-ingredient,27144
preparation,27144
for-large-groups,27144
desserts,27144
easy,27144
cakes,27144
chocolate,27144
number-of-servings,27144
4-hours-or-less,27144
,114392
time-to-make,27210
course,27210
main-ingredient,27210
cuisine,27210
preparation,27210
occasion,27210
north-american,27210
main-dish,27210
pork,27210
barbecue,27210
easy,27210
kid-friendly,27210
dietary,27210
meat,27210
pork-chops,27210
equipment,27210
grilling,27210
3-steps-or-less,27210
technique,27210
4-hours-or-less,27210
15-minutes-or-less,66596
time-to-make,66596
course,66596
cuisine,66596
preparation,66596
occasion,66596
low-protein,66596
salads,66596
greek,66596
european,66596
summer,66596
vegetarian,66596
dietary,66596
seasonal,66596
low-carb,66596
low-in-something,66596
to-go,66596
60-minutes-or-less,106251
time-to-make,106251
course,106251
main-ingredient,106251
cuisine,106251
preparation,106251
occasion,106251
north-american,106251
low-protein,106251
side-dishes,106251
vegetables,106251
american,106251
oven,106251
easy,106251
roast,106251
fall,106251
holiday-event,106251
vegan,106251
vegetarian,106251
dietary,106251
thanksgiving,106251
low-cholesterol,106251
seasonal,106251
low-saturated-fat,106251
low-calorie,106251
comfort-food,106251
low-carb,106251
healthy-2,106251
low-in-something,106251
cauliflower,106251
taste-mood,106251
sweet,106251
equipment,106251
presentation,106251
served-hot,106251
3-steps-or-less,106251
time-to-make,52035
course,52035
preparation,52035
5-ingredients-or-less,52035
desserts,52035
easy,52035
candy,52035
number-of-servings,52035
4-hours-or-less,52035
15-minutes-or-less,43023
time-to-make,43023
course,43023
main-ingredient,43023
preparation,43023
occasion,43023
healthy,43023
salads,43023
pasta,43023
easy,43023
potluck,43023
dinner-party,43023
kid-friendly,43023
stove-top,43023
dietary,43023
inexpensive,43023
pasta-rice-and-grains,43023
penne,43023
to-go,43023
equipment,43023
30-minutes-or-less,63786
time-to-make,63786
course,63786
main-ingredient,63786
cuisine,63786
preparation,63786
north-american,63786
low-protein,63786
main-dish,63786
mexican,63786
dietary,63786
low-cholesterol,63786
low-saturated-fat,63786
healthy-2,63786
low-in-something,63786
meat,63786
weeknight,69630
60-minutes-or-less,69630
time-to-make,69630
course,69630
preparation,69630
occasion,69630
for-large-groups,69630
desserts,69630
holiday-event,69630
cakes,69630
dietary,69630
wedding,69630
equipment,69630
small-appliance,69630
mixer,69630
number-of-servings,69630
30-minutes-or-less,205890
time-to-make,205890
course,205890
main-ingredient,205890
preparation,205890
occasion,205890
for-large-groups,205890
